时间点,经度,纬度,高度,偏航角,俯仰角,速度,偏航控制,俯仰控制
0,-39.53,370330.16,399079.25,135.23817,0.0,2552.00,0,0
1,1764.99,368525.66,399079.25,135.23872,0.0,2552.00,4,0
2,3569.55,366721.16,399079.25,134.76123,0.0,2552.00,5,0
3,5374.08,364916.66,399079.25,135.24165,0.0,2552.00,6,0
4,7178.62,363112.16,399079.25,134.76122,0.0,2552.00,6,0
5,8983.17,361307.66,399079.25,135.23872,0.0,2552.00,3,0
6,10787.71,359503.16,399079.25,135.23878,0.0,2552.00,4,0
7,12592.26,357698.63,399079.25,135.23906,0.0,2552.00,4,0
8,14396.77,355894.13,399079.25,135.23872,0.0,2552.00,2,0
9,16201.31,354089.63,399079.25,134.76083,0.0,2552.00,5,0
10,18005.85,352285.13,399079.25,134.76117,0.0,2552.00,6,0
11,19810.38,350480.63,399079.25,135.23944,0.0,2552.00,5,0
12,21614.93,348676.13,399079.25,134.76117,0.0,2552.00,5,0
13,23419.46,346871.63,399079.25,134.76083,0.0,2552.00,6,0
14,25224.00,345067.09,399079.25,134.76117,0.0,2552.00,4,0
15,27028.52,343262.59,399079.25,135.24295,0.0,2552.00,8,0
16,28833.06,341458.09,399079.25,135.23985,0.0,2552.00,8,0
17,30637.59,339653.59,399079.25,135.2391,0.0,2552.00,3,0
18,32442.14,337849.09,399079.25,135.23944,0.0,2552.00,4,0
19,34246.69,336044.59,399079.25,135.24168,0.0,2552.00,7,0
20,36051.19,334240.09,399079.25,135.24094,0.0,2552.00,6,0
21,37855.75,332435.56,399079.25,135.23862,0.0,2552.00,10,0
22,39660.28,330631.06,399079.25,135.24107,0.0,2552.00,5,0
23,41464.80,328826.56,399079.25,135.24385,0.0,2552.00,11,0
24,43269.35,327022.06,399079.25,134.75906,0.0,2552.00,5,0
25,45073.87,325217.56,399079.25,135.24094,0.0,2552.00,5,0
26,46878.42,323413.06,399079.25,135.23862,0.0,2552.00,10,0
27,48682.95,321608.56,399079.25,135.24107,0.0,2552.00,5,0
28,50487.48,319804.03,399079.25,135.24385,0.0,2552.00,11,0
29,52292.03,317999.53,399079.25,134.75906,0.0,2552.00,5,0
30,54096.54,316195.03,399079.25,135.24094,0.0,2552.00,5,0
31,55901.10,314390.53,399079.25,135.23862,0.0,2552.00,10,0
32,57705.63,312586.03,399079.25,135.24107,0.0,2552.00,5,0
33,59510.15,310781.53,399079.25,135.24385,0.0,2552.00,11,0
34,61314.70,308977.03,399079.25,134.75906,0.0,2552.00,5,0
35,63119.22,307172.53,399079.25,135.24094,0.0,2552.00,5,0
36,64923.75,305368.00,399079.25,135.23875,0.0,2552.00,8,0
37,66728.31,303563.50,399079.25,134.7588,0.0,2552.00,6,0
38,68532.84,301759.00,399079.25,134.7588,0.0,2552.00,6,0
39,70337.38,299954.50,399079.25,134.7588,0.0,2552.00,6,0
40,72141.91,298150.00,399079.25,134.7588,0.0,2552.00,6,0
41,73946.45,296345.50,399079.25,134.7588,0.0,2552.00,6,0
42,75750.98,294541.00,399079.25,134.7588,0.0,2552.00,6,0
43,77555.52,292736.47,399079.25,134.7588,0.0,2552.00,6,0
44,79360.05,290931.97,399079.25,134.7588,0.0,2552.00,6,0
45,81164.59,289127.47,399079.25,134.7588,0.0,2552.00,6,0
46,82969.32,287322.97,399079.25,134.75586,0.0,2552.00,1,0
47,84774.05,285518.47,399079.25,134.7588,0.0,2552.00,1,0
