时间点,经度,纬度,高度,偏航角,俯仰角,速度,偏航控制,俯仰控制
0,71.05,370424.63,399030.94,135.0,0.0,2552.00,0,0
1,1875.59,368620.13,399030.94,134.7611,0.0,2552.00,7,0
2,3680.12,366815.63,399030.94,134.7605,0.0,2552.00,8,0
3,5484.67,365011.09,399030.94,134.76118,0.0,2552.00,4,0
4,7289.20,363206.59,399030.94,135.23927,0.0,2552.00,7,0
5,9093.74,361402.09,399030.94,135.2413,0.0,2552.00,5,0
6,10898.27,359597.59,399030.94,134.75896,0.0,2552.00,5,0
7,12702.81,357793.09,399030.94,135.23872,0.0,2552.00,4,0
8,14507.36,355988.59,399030.94,135.23906,0.0,2552.00,4,0
9,16311.91,354184.09,399030.94,134.76044,0.0,2552.00,7,0
10,18116.45,352379.56,399030.94,135.23875,0.0,2552.00,7,0
11,19920.95,350575.06,399030.94,135.23875,0.0,2552.00,0,0
12,21725.50,348770.56,399030.94,135.23944,0.0,2552.00,8,0
13,23530.03,346966.06,399030.94,134.76083,0.0,2552.00,5,0
14,25334.58,345161.56,399030.94,134.76117,0.0,2552.00,4,0
15,27139.12,343357.06,399030.94,135.2391,0.0,2552.00,7,0
16,28943.66,341552.56,399030.94,135.23944,0.0,2552.00,6,0
17,30748.19,339748.06,399030.94,135.24127,0.0,2552.00,5,0
18,32552.72,337943.53,399030.94,134.76117,0.0,2552.00,8,0
19,34357.29,336139.03,399030.94,135.23903,0.0,2552.00,7,0
20,36161.80,334334.53,399030.94,135.24094,0.0,2552.00,7,0
21,37966.31,332530.03,399030.94,135.238,0.0,2552.00,7,0
22,39770.86,330725.53,399030.94,135.23862,0.0,2552.00,10,0
23,41575.41,328921.03,399030.94,135.24094,0.0,2552.00,9,0
24,43379.93,327116.53,399030.94,134.7611,0.0,2552.00,6,0
25,45184.50,325312.00,399030.94,135.23903,0.0,2552.00,7,0
26,46989.02,323507.50,399030.94,135.24094,0.0,2552.00,7,0
27,48793.52,321703.00,399030.94,135.238,0.0,2552.00,7,0
28,50598.07,319898.50,399030.94,135.23862,0.0,2552.00,10,0
29,52402.62,318094.00,399030.94,135.24094,0.0,2552.00,9,0
30,54207.14,316289.50,399030.94,134.7611,0.0,2552.00,6,0
31,56011.71,314485.00,399030.94,135.23903,0.0,2552.00,7,0
32,57816.22,312680.47,399030.94,135.24094,0.0,2552.00,7,0
33,59620.73,310875.97,399030.94,135.238,0.0,2552.00,7,0
34,61425.28,309071.47,399030.94,135.23862,0.0,2552.00,10,0
35,63229.83,307266.97,399030.94,135.24094,0.0,2552.00,9,0
36,65034.33,305462.47,399030.94,135.23875,0.0,2552.00,5,0
37,66838.88,303657.97,399030.94,134.76173,0.0,2552.00,7,0
38,68643.40,301853.47,399030.94,134.76123,0.0,2552.00,4,0
39,70447.95,300048.94,399030.94,134.76173,0.0,2552.00,6,0
