时间点,开关,偏航角偏移量,俯仰角偏移量,信号特征,置信度
0,On,129.77501,146.7504,'Fussy',0.19673975
1,On,115.7242,170.59114,'Fussy',0.03995936
2,On,128.76724,152.82455,'Fussy',0.09037832
3,On,125.623535,146.80612,'Fussy',0.14328174
4,On,130.86003,163.02913,'Fussy',0.19707482
5,On,115.94644,173.71722,'Fussy',0.084656335
6,On,119.811325,150.15338,'Fussy',0.13297229
7,On,133.24965,156.34068,'Fussy',0.17557286
8,On,139.02089,173.77101,'Fussy',0.0031594278
9,On,119.88869,159.01395,'Fussy',0.02011168
10,On,128.88551,163.70695,'Fussy',0.1452366
11,On,115.285706,151.2025,'Fussy',0.17559008
12,On,133.09927,152.65367,'Fussy',0.17745815
13,On,136.16129,147.70801,'Fussy',0.12490487
14,On,137.19177,175.35037,'Fussy',0.19301394
15,On,118.667755,153.76752,'Fussy',0.010603368
16,On,120.73123,156.32062,'Fussy',0.11008662
17,On,128.55113,148.74733,'Fussy',0.03338609
18,On,133.29822,171.44366,'Fussy',0.19840266
19,On,139.70741,151.09236,'Fussy',0.011574316
20,On,125.68112,156.40631,'Fussy',0.074703924
21,On,113.650375,155.62865,'Fussy',0.016051639
22,On,118.67384,176.50192,'Fussy',0.075183846
23,On,123.55382,155.82843,'Fussy',0.05835546
24,On,129.00851,175.31776,'Fussy',0.043028332
25,On,128.93503,168.9532,'Fussy',0.15695593
26,On,133.04784,158.85292,'Fussy',0.14515
27,On,126.32526,172.19696,'Fussy',0.16100502
28,On,115.11635,177.0197,'Fussy',0.15667874
29,On,127.9194,155.12714,'Fussy',0.04320822
30,On,140.34679,148.3114,'Fussy',0.05018225
31,On,141.50673,161.65862,'Fussy',0.07475251
32,On,133.68506,156.18042,'Fussy',0.01208508
33,On,130.76797,154.21725,'Fussy',0.10370965
34,On,115.392136,175.98813,'Fussy',0.05219629
35,On,116.357956,155.73792,'Fussy',0.089209035
36,On,114.41788,175.2449,'Fussy',0.037353255
37,On,135.42418,157.26408,'Fussy',0.10818837
38,On,140.44933,170.86475,'Fussy',0.10264497
39,On,141.93332,168.53209,'Fussy',0.1479138
40,On,126.01523,148.84518,'Fussy',0.15206519
