时间点,经度,纬度,高度,偏航角,俯仰角,速度,偏航控制,俯仰控制
0,70.08,370371.69,399069.75,135.23817,0.0,2552.00,0,0
1,1874.63,368567.16,399069.75,134.76117,0.0,2552.00,5,0
2,3679.17,366762.66,399069.75,134.76118,0.0,2552.00,6,0
3,5483.71,364958.16,399069.75,135.24165,0.0,2552.00,4,0
4,7288.25,363153.66,399069.75,134.75902,0.0,2552.00,5,0
5,9092.77,361349.16,399069.75,135.24089,0.0,2552.00,3,0
6,10897.31,359544.66,399069.75,135.23906,0.0,2552.00,3,0
7,12701.84,357740.16,399069.75,135.23938,0.0,2552.00,6,0
8,14506.38,355935.63,399069.75,134.7611,0.0,2552.00,5,0
9,16310.92,354131.13,399069.75,135.23856,0.0,2552.00,9,0
10,18115.44,352326.63,399069.75,135.23944,0.0,2552.00,4,0
11,19920.01,350522.13,399069.75,134.76117,0.0,2552.00,1,0
12,21724.57,348717.63,399078.00,134.76117,-0.19162403,2552.00,0,1
13,23529.13,346913.13,399078.00,134.76117,-2.8393128E-8,2552.00,0,1
14,25333.69,345108.63,399069.75,134.76115,0.19162396,2552.00,0,1
15,27138.25,343304.09,399069.75,134.76117,-9.464232E-9,2552.00,0,1
16,28942.81,341499.59,399078.00,134.76115,-0.19162402,2552.00,0,1
17,30747.38,339695.09,399078.00,134.76117,-9.464231E-9,2552.00,0,1
18,32552.07,337890.59,399078.00,134.75822,-9.464232E-9,2552.00,1,0
19,34356.69,336086.09,399078.00,134.76117,-9.464231E-9,2552.00,1,0
20,36161.42,334281.59,399078.00,134.75822,-9.464232E-9,2552.00,1,0
21,37965.59,332476.91,399069.16,135.25853,0.3826463,2552.00,9,2
22,39769.98,330672.31,399069.97,134.74512,-0.19286005,2552.00,14,5
23,41574.63,328867.88,399069.44,135.24731,0.19038737,2552.00,10,2
24,43379.10,327063.38,399069.97,134.75354,-0.19286025,2552.00,7,2
25,45183.77,325258.88,399069.44,135.2455,0.19038749,2552.00,7,2
26,46988.21,323454.38,399069.97,135.24107,-0.19286045,2552.00,6,2
27,48792.78,321649.88,399069.44,135.23938,0.19038765,2552.00,5,2
28,50597.29,319845.38,399069.97,135.23862,-0.1928604,2552.00,10,2
29,52401.81,318040.88,399069.44,135.24135,0.19038749,2552.00,5,2
30,54206.33,316236.34,399069.97,134.76047,-0.19286041,2552.00,6,2
31,56010.88,314431.84,399069.44,135.24135,0.19038749,2552.00,6,2
32,57815.40,312627.34,399069.97,134.76047,-0.19286041,2552.00,6,2
33,59619.95,310822.84,399069.44,135.24135,0.19038749,2552.00,6,2
34,61424.47,309018.34,399069.97,134.76047,-0.19286041,2552.00,6,2
35,63229.02,307213.84,399069.44,135.24135,0.19038749,2552.00,6,2
36,65033.56,305409.34,399069.97,134.75906,-0.19286028,2552.00,3,2
37,66838.09,303604.81,399069.44,134.76097,0.19038765,2552.00,5,2
38,68642.62,301800.31,399069.97,134.75851,-0.19286029,2552.00,7,2
39,70447.16,299995.81,399069.44,135.23877,0.19038753,2552.00,2,2
40,72251.67,298191.31,399069.97,135.23875,-0.1928604,2552.00,2,2
41,74056.22,296386.81,399069.44,134.75635,0.19038776,2552.00,5,2
42,75860.84,294582.31,399069.97,135.24411,-0.1928605,2552.00,5,2
43,77665.31,292777.81,399069.44,135.24121,0.19038752,2552.00,5,2
44,79469.82,290973.31,399069.97,135.23875,-0.1928604,2552.00,3,2
45,81274.37,289168.78,399069.44,135.23877,0.19038753,2552.00,6,2
46,83078.90,287364.28,399069.97,134.75851,-0.19286029,2552.00,8,2
47,84883.45,285559.78,399069.44,135.23877,0.19038753,2552.00,2,2
48,86687.95,283755.28,399069.97,135.23875,-0.1928604,2552.00,2,2
49,88492.50,281950.78,399069.44,134.75635,0.19038776,2552.00,5,2
50,90297.11,280146.28,399069.97,135.24411,-0.1928605,2552.00,5,2
51,92101.59,278341.78,399069.44,135.24121,0.19038752,2552.00,5,2
52,93906.09,276537.25,399069.97,135.23875,-0.1928604,2552.00,3,2
53,95710.65,274732.75,399069.44,135.23877,0.19038753,2552.00,6,2
54,97515.17,272928.25,399069.97,134.75851,-0.19286029,2552.00,8,2
55,99319.73,271123.75,399069.44,135.23877,0.19038753,2552.00,2,2
56,101124.23,269319.25,399069.97,135.23875,-0.1928604,2552.00,2,2
57,102928.78,267514.75,399069.44,134.75635,0.19038776,2552.00,5,2
58,104733.39,265710.25,399069.97,135.24411,-0.1928605,2552.00,5,2
59,106537.88,263905.72,399069.44,135.24121,0.19038752,2552.00,5,2
60,108342.38,262101.23,399069.97,135.23875,-0.1928604,2552.00,3,2
61,110146.93,260296.72,399069.44,135.23877,0.19038753,2552.00,6,2
62,111951.45,258492.22,399069.97,134.75851,-0.19286029,2552.00,8,2
63,113756.01,256687.72,399069.44,135.23877,0.19038753,2552.00,2,2
64,115560.51,254883.20,399069.97,135.23848,-0.19286042,2552.00,2,2
65,117365.05,253078.70,399069.44,134.75987,0.19038767,2552.00,5,2
66,119169.63,251274.20,399069.97,135.24034,-0.19286038,2552.00,6,2
67,120974.13,249469.70,399069.44,134.76123,0.19038759,2552.00,5,2
68,122778.67,247665.19,399069.97,134.76091,-0.19286026,2552.00,8,2
69,124583.20,245860.69,399069.44,134.7569,0.19038773,2552.00,7,2
70,126387.79,244056.16,399069.97,135.23984,-0.19286042,2552.00,5,2
71,128192.29,242251.64,399069.44,134.76123,0.19038759,2552.00,5,2
72,129996.80,240447.14,399069.97,134.7583,-0.19286035,2552.00,5,2
73,131801.33,238642.67,399069.44,134.75505,0.19038773,2552.00,5,2
74,133605.83,236838.17,399069.97,134.7583,-0.19286035,2552.00,7,2
75,135410.38,235033.69,399069.44,134.75505,0.19038773,2552.00,7,2
76,137214.91,233229.22,399069.97,135.23984,-0.19286042,2552.00,3,2
77,139019.41,231424.72,399069.44,134.76123,0.19038759,2552.00,7,2
78,140823.97,229620.25,399069.97,134.7547,-0.19286019,2552.00,8,2
79,142628.48,227815.75,399069.44,135.23985,0.19038753,2552.00,9,2
80,144432.98,226011.25,399069.97,134.76157,-0.19286042,2552.00,3,2
81,146237.48,224206.73,399069.44,134.75832,0.1903876,2552.00,11,2
82,148042.03,222402.27,399069.97,134.7547,-0.19286019,2552.00,5,2
83,149846.55,220597.77,399069.44,135.23985,0.19038753,2552.00,7,2
84,151651.08,218793.28,399069.97,134.75797,-0.19286025,2552.00,6,2
85,153455.58,216988.77,399069.44,134.75798,0.1903877,2552.00,4,2
86,155260.11,215184.30,399069.97,134.75505,-0.19286028,2552.00,7,2
87,157064.61,213379.78,399069.44,135.24637,0.19038738,2552.00,5,2
88,158869.16,211575.27,399069.97,134.74525,-0.19286002,2552.00,10,2
89,160673.70,209770.81,399069.44,135.25288,0.19038719,2552.00,10,2
90,162478.20,207966.28,399069.97,134.74852,-0.19286011,2552.00,9,2
91,164282.78,206161.83,399069.44,135.25256,0.19038732,2552.00,9,2
92,166087.28,204357.28,399069.97,134.74492,-0.19285996,2552.00,12,2
93,167891.81,202552.80,399069.44,135.24019,0.19038746,2552.00,12,2
94,169696.36,200748.33,399069.97,134.7547,-0.19286019,2552.00,11,2
95,171500.88,198943.81,399069.44,134.75798,0.1903877,2552.00,1,2
96,173305.41,197139.34,399069.97,134.75505,-0.19286028,2552.00,9,2
97,175109.89,195334.80,399069.44,135.24344,0.19038738,2552.00,8,2
98,176914.47,193530.33,399069.97,134.75177,-0.1928602,2552.00,11,2
99,178718.97,191725.80,399069.44,135.24019,0.19038746,2552.00,8,2
100,180523.53,189921.34,399069.97,135.23952,-0.19286035,2552.00,10,2
101,182323.33,188117.84,398946.34,135.33775,5.5562263,2552.00,30,30
102,184101.94,186328.80,398568.13,135.43022,11.303971,2552.00,30,30
103,185841.67,184572.36,397939.06,135.52231,17.052153,2552.00,30,30
104,187525.27,182866.50,397065.69,135.61435,22.80061,2552.00,30,30
105,189135.95,181228.53,395956.53,135.70772,28.551218,2552.00,30,30
106,190657.80,179675.27,394623.00,135.79866,34.29806,2552.00,30,30
107,192075.92,178222.75,393078.31,135.8885,40.04905,2552.00,30,30
108,193376.50,176886.03,391337.88,135.97752,45.800472,2552.00,30,30
109,194546.86,175678.92,389419.34,136.06906,51.547195,2552.00,30,30
110,195575.63,174614.14,387342.03,136.1627,57.301254,2552.00,30,30
111,196452.83,173702.83,385126.75,136.25352,63.05261,2552.00,30,30
112,197170.50,172954.72,382795.91,136.34517,68.80154,2552.00,30,30
113,197728.59,172370.78,380375.84,136.43896,73.01906,2552.00,30,22
114,198242.58,171831.05,377935.06,136.53185,73.019196,2552.00,30,0
115,198755.61,171290.38,375494.25,136.62488,73.01904,2552.00,30,0
116,199267.67,170748.80,373053.47,136.71869,73.0191,2552.00,30,0
117,199778.73,170206.30,370612.66,136.81041,73.01922,2552.00,30,0
118,200288.88,169662.94,368171.88,136.88855,73.01907,2552.00,25,0
119,200798.61,169119.11,365731.09,136.91003,73.018936,2552.00,7,0
120,201308.11,168575.28,363290.28,136.9213,73.01906,2552.00,4,0
121,201817.59,168031.47,360849.50,136.92526,73.0191,2552.00,1,0
122,202327.09,167487.48,358408.69,136.92807,73.018936,2552.00,1,0
123,202836.58,166943.20,355967.91,136.93091,73.019135,2552.00,1,0
124,203346.06,166398.92,353527.09,136.93655,73.01922,2552.00,12,0
125,203855.56,165854.64,351086.31,136.93428,73.01898,2552.00,9,0
126,204365.05,165310.36,348645.50,136.93428,73.01898,2552.00,2,0
127,204874.55,164766.08,346204.72,136.93733,73.01898,2552.00,13,0
128,205384.03,164221.80,343763.91,136.93655,73.01922,2552.00,12,0
129,205893.53,163677.52,341323.13,136.93428,73.01898,2552.00,3,0
130,206403.02,163133.23,338882.31,136.93993,73.01906,2552.00,12,0
131,206912.50,162588.95,336441.53,136.93993,73.01906,2552.00,14,0
132,207422.00,162044.67,334000.72,136.93993,73.01906,2552.00,0,0
133,207931.48,161500.39,331559.94,136.93655,73.01922,2552.00,5,0
