时间点,经度,纬度,高度,偏航角,俯仰角,速度,偏航控制,俯仰控制
0,74.11,370374.94,399074.25,135.0,0.0,2552.00,0,0
1,1878.66,368570.44,399074.25,134.7611,0.0,2552.00,7,0
2,3683.21,366765.94,399074.25,135.23872,0.0,2552.00,7,0
3,5487.73,364961.44,399074.25,135.23889,0.0,2552.00,6,0
4,7292.28,363156.91,399074.25,134.76062,0.0,2552.00,9,0
5,9096.82,361352.41,399074.25,135.23944,0.0,2552.00,5,0
6,10901.34,359547.91,399074.25,135.24112,0.0,2552.00,5,0
7,12705.85,357743.41,399074.25,134.76083,0.0,2552.00,4,0
8,14510.39,355938.91,399074.25,135.23872,0.0,2552.00,5,0
9,16314.90,354134.41,399074.25,135.23872,0.0,2552.00,2,0
10,18119.48,352329.91,399074.25,134.75641,0.0,2552.00,5,0
11,19924.10,350525.38,399074.25,135.24127,0.0,2552.00,4,0
12,21728.58,348720.88,399074.25,135.24094,0.0,2552.00,4,0
13,23533.08,346916.38,399074.25,135.2391,0.0,2552.00,5,0
14,25337.62,345111.88,399074.25,135.2391,0.0,2552.00,4,0
15,27142.16,343307.38,399074.25,135.2391,0.0,2552.00,4,0
16,28946.70,341502.88,399074.25,135.2391,0.0,2552.00,4,0
17,30751.23,339698.38,399074.25,135.2391,0.0,2552.00,4,0
18,32555.78,337893.88,399074.25,134.75737,0.0,2552.00,6,0
19,34360.34,336089.34,399074.25,135.238,0.0,2552.00,9,0
20,36164.84,334284.84,399074.25,135.238,0.0,2552.00,6,0
21,37969.39,332480.34,399074.25,135.23862,0.0,2552.00,10,0
22,39773.94,330675.84,399074.25,135.24094,0.0,2552.00,9,0
23,41578.46,328871.34,399074.25,134.7611,0.0,2552.00,6,0
24,43383.03,327066.84,399074.25,135.23903,0.0,2552.00,7,0
25,45187.54,325262.34,399074.25,135.24094,0.0,2552.00,7,0
26,46992.05,323457.81,399074.25,135.238,0.0,2552.00,7,0
27,48796.60,321653.31,399074.25,135.23862,0.0,2552.00,10,0
28,50601.15,319848.81,399074.25,135.24094,0.0,2552.00,9,0
29,52405.67,318044.31,399074.25,134.7611,0.0,2552.00,6,0
30,54210.24,316239.81,399074.25,135.23903,0.0,2552.00,7,0
31,56014.75,314435.31,399074.25,135.24094,0.0,2552.00,7,0
32,57819.26,312630.81,399074.25,135.238,0.0,2552.00,7,0
33,59623.80,310826.28,399074.25,135.23862,0.0,2552.00,10,0
34,61428.36,309021.78,399074.25,135.24094,0.0,2552.00,9,0
35,63232.88,307217.28,399074.25,134.7611,0.0,2552.00,6,0
36,65037.41,305412.78,399074.25,135.24094,0.0,2552.00,4,0
37,66841.95,303608.28,399074.25,134.7588,0.0,2552.00,7,0
38,68646.48,301803.78,399074.25,134.7588,0.0,2552.00,6,0
39,70451.01,299999.28,399074.25,134.7588,0.0,2552.00,6,0
40,72255.55,298194.75,399074.25,134.7588,0.0,2552.00,6,0
41,74060.08,296390.25,399074.25,134.7588,0.0,2552.00,6,0
42,75864.62,294585.75,399074.25,134.7588,0.0,2552.00,6,0
43,77669.15,292781.25,399074.25,134.7588,0.0,2552.00,6,0
44,79473.69,290976.75,399074.25,134.7588,0.0,2552.00,6,0
45,81278.22,289172.25,399074.25,134.7588,0.0,2552.00,6,0
46,83082.76,287367.75,399074.25,134.7588,0.0,2552.00,6,0
47,84887.29,285563.22,399074.25,134.7588,0.0,2552.00,6,0
48,86691.83,283758.72,399074.25,134.7588,0.0,2552.00,6,0
49,88496.36,281954.22,399074.25,134.7588,0.0,2552.00,6,0
50,90300.90,280149.72,399074.25,134.7588,0.0,2552.00,6,0
51,92105.43,278345.22,399074.25,134.7588,0.0,2552.00,6,0
52,93909.97,276540.72,399074.25,134.7588,0.0,2552.00,6,0
53,95714.50,274736.22,399074.25,134.7588,0.0,2552.00,6,0
54,97519.04,272931.69,399074.25,134.7588,0.0,2552.00,6,0
55,99323.57,271127.19,399074.25,134.7588,0.0,2552.00,6,0
56,101128.10,269322.69,399074.25,134.7588,0.0,2552.00,6,0
57,102932.64,267518.19,399074.25,134.7588,0.0,2552.00,6,0
58,104737.17,265713.69,399074.25,134.7588,0.0,2552.00,6,0
59,106541.71,263909.19,399074.25,134.7588,0.0,2552.00,6,0
60,108346.24,262104.67,399074.25,134.7588,0.0,2552.00,6,0
61,110150.78,260300.17,399074.25,134.7588,0.0,2552.00,6,0
62,111955.31,258495.67,399074.25,134.7588,0.0,2552.00,6,0
63,113759.85,256691.16,399074.25,134.7588,0.0,2552.00,6,0
64,115564.38,254886.66,399074.25,134.75824,0.0,2552.00,8,0
65,117368.90,253082.16,399074.25,135.2385,0.0,2552.00,6,0
66,119173.44,251277.66,399074.25,134.7569,0.0,2552.00,8,0
67,120978.01,249473.11,399074.25,135.24017,0.0,2552.00,7,0
68,122782.53,247668.61,399074.25,134.76097,0.0,2552.00,5,0
69,124587.06,245864.11,399074.25,134.7569,0.0,2552.00,5,0
70,126391.64,244059.59,399074.25,135.24283,0.0,2552.00,6,0
71,128196.13,242255.09,399074.25,134.75797,0.0,2552.00,3,0
72,130000.69,240450.66,399074.25,134.75363,0.0,2552.00,5,0
73,131805.22,238646.16,399074.25,135.24236,0.0,2552.00,8,0
74,133609.70,236841.61,399074.25,135.24529,0.0,2552.00,7,0
75,135414.28,235037.16,399074.25,134.76016,0.0,2552.00,11,0
76,137218.78,233232.64,399074.25,135.24236,0.0,2552.00,6,0
77,139023.28,231428.13,399074.25,134.76016,0.0,2552.00,8,0
78,140827.83,229623.66,399074.25,134.75656,0.0,2552.00,11,0
79,142632.34,227819.16,399074.25,134.75981,0.0,2552.00,1,0
80,144436.84,226014.66,399074.25,134.76016,0.0,2552.00,8,0
81,146241.41,224210.20,399074.25,134.75363,0.0,2552.00,6,0
82,148045.84,222405.59,399074.25,135.23875,0.0,2552.00,9,0
83,149850.48,220601.22,399074.25,134.76016,0.0,2552.00,9,0
84,151654.94,218796.64,399074.25,135.24529,0.0,2552.00,5,0
85,153459.52,216992.19,399074.25,134.7569,0.0,2552.00,8,0
86,155264.02,215187.69,399074.25,134.75981,0.0,2552.00,1,0
87,157068.53,213383.17,399074.25,134.76016,0.0,2552.00,12,0
88,158873.03,211578.67,399074.25,134.7569,0.0,2552.00,9,0
89,160677.63,209774.25,399074.25,134.7569,0.0,2552.00,6,0
90,162482.09,207969.69,399074.25,135.24529,0.0,2552.00,8,0
91,164286.64,206165.20,399074.25,134.7569,0.0,2552.00,6,0
92,166091.14,204360.70,399074.25,134.7569,0.0,2552.00,10,0
93,167895.67,202556.23,399074.25,134.75363,0.0,2552.00,9,0
94,169700.19,200751.72,399074.25,134.7569,0.0,2552.00,7,0
95,171504.70,198947.22,399074.25,134.7569,0.0,2552.00,6,0
96,173309.23,197142.75,399074.25,134.75363,0.0,2552.00,5,0
97,175113.77,195338.25,399074.25,135.23875,0.0,2552.00,7,0
98,176918.28,193533.75,399074.25,134.7569,0.0,2552.00,6,0
99,178722.78,191729.25,399074.25,134.75981,0.0,2552.00,9,0
100,180527.33,189924.78,399074.25,134.7569,0.0,2552.00,7,0
101,182330.64,188125.39,398942.06,134.65912,5.7492814,2552.00,30,30
102,184118.73,186347.66,398555.28,134.57445,11.498224,2552.00,30,30
103,185873.41,184609.22,397917.81,134.48355,17.248241,2552.00,30,30
104,187576.92,182927.56,397036.25,134.39407,22.997974,2552.00,30,30
105,189211.84,181319.20,395919.28,134.30301,28.74699,2552.00,30,30
106,190761.38,179800.16,394578.16,134.21674,34.49638,2552.00,30,30
107,192209.58,178385.30,393026.34,134.12639,40.248917,2552.00,30,30
108,193541.55,177088.53,391279.53,134.03848,45.99801,2552.00,30,30
109,194743.53,175922.48,389355.19,133.9464,51.746975,2552.00,30,30
110,195802.88,174898.39,387272.88,133.85614,57.496864,2552.00,30,30
111,196708.41,174026.11,385053.34,133.7631,63.247147,2552.00,30,30
112,197450.53,173313.81,382718.97,133.667,68.99856,2552.00,30,30
113,198026.69,172762.84,380295.66,133.5742,73.408195,2552.00,30,23
114,198554.28,172260.16,377850.28,133.48247,73.408165,2552.00,30,0
115,199082.77,171758.42,375404.91,133.38832,73.40818,2552.00,30,0
116,199612.16,171257.63,372959.53,133.29622,73.40825,2552.00,30,0
117,200142.44,170757.77,370514.16,133.20393,73.40815,2552.00,30,0
118,200673.61,170258.84,368068.78,133.11264,73.407974,2552.00,30,0
119,201205.64,169760.86,365623.41,133.02003,73.407974,2552.00,30,0
120,201738.58,169263.83,363178.03,132.9267,73.408226,2552.00,30,0
121,202272.38,168767.73,360732.66,132.83147,73.40802,2552.00,30,0
122,202807.08,168272.61,358287.28,132.7355,73.40824,2552.00,30,0
123,203342.70,167778.47,355841.91,132.64107,73.40813,2552.00,30,0
124,203879.19,167285.31,353396.53,132.54591,73.40806,2552.00,30,0
125,204416.55,166793.11,350951.19,132.45114,73.40806,2552.00,30,0
126,204954.81,166301.86,348505.81,132.3568,73.40808,2552.00,30,0
127,205493.89,165811.47,346060.44,132.29286,73.40814,2552.00,20,0
128,206033.14,165321.22,343615.06,132.28058,73.4081,2552.00,4,0
129,206572.75,164831.41,341169.69,132.25275,73.407974,2552.00,9,0
130,207112.45,164341.59,338724.31,132.24298,73.40814,2552.00,3,0
131,207652.16,163851.80,336278.94,132.24298,73.40814,2552.00,0,0
132,208191.86,163361.98,333833.56,132.24298,73.40814,2552.00,0,0
133,208731.56,162872.17,331388.19,132.24298,73.40814,2552.00,0,0
134,209271.27,162382.38,328942.81,132.24298,73.40814,2552.00,0,0
135,209810.97,161892.56,326497.44,132.24298,73.40814,2552.00,0,0
136,210350.67,161402.75,324052.06,132.24298,73.40814,2552.00,0,0
137,210890.38,160912.95,321606.69,132.24298,73.40814,2552.00,0,0
138,211430.08,160423.14,319161.31,132.24298,73.40814,2552.00,0,0
139,211969.78,159933.33,316715.94,132.24298,73.40814,2552.00,0,0
140,212509.48,159443.53,314270.56,132.24298,73.40814,2552.00,0,0
141,213049.19,158953.72,311825.19,132.24298,73.40814,2552.00,0,0
142,213588.89,158463.91,309379.81,132.24298,73.40814,2552.00,0,0
143,214128.59,157974.11,306934.44,132.24298,73.40814,2552.00,0,0
144,214668.30,157484.30,304489.06,132.24298,73.40814,2552.00,0,0
145,215208.00,156994.48,302043.69,132.24298,73.40814,2552.00,0,0
146,215747.72,156504.69,299598.31,132.24298,73.40814,2552.00,0,0
147,216287.42,156014.88,297152.97,132.24298,73.40814,2552.00,0,0
148,216827.13,155525.06,294707.59,132.24298,73.40814,2552.00,0,0
149,217366.83,155035.27,292262.22,132.24298,73.40814,2552.00,0,0
150,217906.53,154545.45,289816.84,132.24298,73.40814,2552.00,0,0
151,218446.23,154055.66,287371.47,132.24298,73.40814,2552.00,0,0
152,218985.94,153565.84,284926.09,132.24298,73.40814,2552.00,0,0
153,219525.64,153076.03,282480.72,132.24298,73.40814,2552.00,0,0
154,220065.34,152586.23,280035.34,132.24298,73.40814,2552.00,0,0
155,220605.05,152096.42,277589.97,132.24298,73.40814,2552.00,0,0
156,221144.75,151606.61,275144.59,132.24298,73.40814,2552.00,0,0
157,221684.45,151116.81,272699.22,132.24298,73.40814,2552.00,0,0
158,222224.16,150627.00,270253.84,132.24298,73.40814,2552.00,0,0
159,222763.86,150137.19,267808.47,132.24298,73.40814,2552.00,0,0
160,223303.56,149647.39,265363.09,132.24298,73.40814,2552.00,0,0
161,223843.27,149157.58,262917.72,132.24298,73.40814,2552.00,0,0
162,224382.97,148667.77,260472.34,132.24298,73.40814,2552.00,0,0
163,224922.67,148177.97,258026.98,132.24298,73.40814,2552.00,0,0
164,225462.38,147688.16,255581.52,132.24298,73.40814,2552.00,0,0
165,226002.13,147198.75,253135.69,132.22119,73.4081,2552.00,7,0
166,226542.28,146709.39,250689.84,132.22119,73.4081,2552.00,0,0
167,227082.44,146220.05,248244.02,132.22119,73.4081,2552.00,0,0
168,227622.61,145730.70,245798.19,132.22119,73.4081,2552.00,0,0
169,228162.77,145241.34,243352.36,132.22119,73.4081,2552.00,0,0
170,228702.92,144752.00,240906.53,132.22119,73.4081,2552.00,0,0
171,229243.09,144262.66,238460.69,132.22119,73.4081,2552.00,0,0
172,229783.25,143773.30,236014.86,132.22119,73.4081,2552.00,0,0
173,230323.41,143283.95,233569.03,132.22119,73.4081,2552.00,0,0
174,230863.58,142794.59,231123.20,132.22119,73.4081,2552.00,0,0
175,231403.73,142305.25,228677.38,132.22119,73.4081,2552.00,0,0
176,231943.89,141815.91,226231.53,132.22119,73.4081,2552.00,0,0
177,232484.05,141326.55,223785.70,132.22119,73.4081,2552.00,0,0
178,233024.22,140837.20,221339.88,132.22119,73.4081,2552.00,0,0
179,233564.38,140347.86,218894.05,132.22119,73.4081,2552.00,0,0
180,234104.53,139858.50,216448.22,132.22119,73.4081,2552.00,0,0
