时间点,经度,纬度,高度,偏航角,俯仰角,速度,偏航控制,俯仰控制
0,-39.38,370323.75,399074.94,135.0,0.0,2552.00,0,0
1,1765.12,368519.25,399074.94,134.76117,0.0,2552.00,5,0
2,3569.71,366714.75,399074.94,134.76067,0.0,2552.00,8,0
3,5374.26,364910.25,399074.94,134.76118,0.0,2552.00,6,0
4,7178.78,363105.75,399074.94,135.24124,0.0,2552.00,4,0
5,8983.31,361301.25,399074.94,134.75883,0.0,2552.00,5,0
6,10787.86,359496.75,399074.94,134.7611,0.0,2552.00,5,0
7,12592.39,357692.22,399074.94,134.7611,0.0,2552.00,4,0
8,14396.93,355887.72,399074.94,134.76117,0.0,2552.00,4,0
9,16201.45,354083.22,399074.94,134.76117,0.0,2552.00,6,0
10,18005.98,352278.72,399074.94,135.23889,0.0,2552.00,5,0
11,19810.52,350474.22,399074.94,135.2391,0.0,2552.00,4,0
12,21615.06,348669.72,399074.94,135.2391,0.0,2552.00,4,0
13,23419.60,346865.22,399074.94,135.2391,0.0,2552.00,4,0
14,25224.13,345060.69,399074.94,135.2391,0.0,2552.00,4,0
15,27028.67,343256.19,399074.94,135.2391,0.0,2552.00,4,0
16,28833.21,341451.69,399074.94,135.2391,0.0,2552.00,4,0
17,30637.74,339647.19,399074.94,135.2391,0.0,2552.00,4,0
18,32442.30,337842.69,399074.94,134.76117,0.0,2552.00,3,0
19,34246.87,336038.19,399074.94,135.23903,0.0,2552.00,7,0
20,36051.38,334233.69,399074.94,135.24094,0.0,2552.00,7,0
21,37855.89,332429.16,399074.94,135.238,0.0,2552.00,7,0
22,39660.43,330624.66,399074.94,135.23862,0.0,2552.00,10,0
23,41464.99,328820.16,399074.94,135.24094,0.0,2552.00,9,0
24,43269.51,327015.66,399074.94,134.7611,0.0,2552.00,6,0
25,45074.08,325211.16,399074.94,135.23903,0.0,2552.00,7,0
26,46878.59,323406.66,399074.94,135.24094,0.0,2552.00,7,0
27,48683.10,321602.16,399074.94,135.238,0.0,2552.00,7,0
28,50487.64,319797.63,399074.94,135.23862,0.0,2552.00,10,0
29,52292.20,317993.13,399074.94,135.24094,0.0,2552.00,9,0
