时间点,经度,纬度,高度,偏航角,俯仰角,速度,偏航控制,俯仰控制
0,67.56,370433.66,399036.38,135.0,0.0,2552.00,0,0
1,1872.09,368629.16,399036.38,135.24135,0.0,2552.00,7,0
2,3676.66,366824.66,399036.38,134.759,0.0,2552.00,5,0
3,5481.18,365020.16,399036.38,135.24127,0.0,2552.00,5,0
4,7285.69,363215.63,399036.38,135.23871,0.0,2552.00,5,0
5,9090.22,361411.13,399036.38,135.23872,0.0,2552.00,4,0
6,10894.78,359606.63,399036.38,135.23955,0.0,2552.00,6,0
7,12699.32,357802.13,399036.38,135.23872,0.0,2552.00,2,0
8,14503.86,355997.63,399036.38,135.23872,0.0,2552.00,4,0
9,16308.40,354193.13,399036.38,135.239,0.0,2552.00,6,0
10,18112.93,352388.63,399036.38,134.76117,0.0,2552.00,3,0
11,19917.46,350584.09,399036.38,134.76117,0.0,2552.00,4,0
12,21722.00,348779.59,399036.38,134.76117,0.0,2552.00,6,0
13,23526.53,346975.09,399036.38,135.23889,0.0,2552.00,5,0
14,25331.07,345170.59,399036.38,135.2391,0.0,2552.00,4,0
15,27135.61,343366.09,399036.38,135.2391,0.0,2552.00,4,0
16,28940.14,341561.59,399036.38,135.2391,0.0,2552.00,4,0
17,30744.68,339757.09,399036.38,135.2391,0.0,2552.00,4,0
18,32549.22,337952.56,399036.38,134.75737,0.0,2552.00,6,0
19,34353.79,336148.06,399036.38,135.238,0.0,2552.00,9,0
20,36158.29,334343.56,399036.38,135.238,0.0,2552.00,6,0
21,37962.83,332539.06,399036.38,135.23862,0.0,2552.00,10,0
22,39767.39,330734.56,399036.38,135.24094,0.0,2552.00,9,0
23,41571.91,328930.06,399036.38,134.7611,0.0,2552.00,6,0
24,43376.48,327125.56,399036.38,135.23903,0.0,2552.00,7,0
25,45180.99,325321.03,399036.38,135.24094,0.0,2552.00,7,0
26,46985.50,323516.53,399036.38,135.238,0.0,2552.00,7,0
27,48790.04,321712.03,399036.38,135.23862,0.0,2552.00,10,0
28,50594.60,319907.53,399036.38,135.24094,0.0,2552.00,9,0
29,52399.12,318103.03,399036.38,134.7611,0.0,2552.00,6,0
30,54203.69,316298.53,399036.38,135.23903,0.0,2552.00,7,0
31,56008.20,314494.03,399036.38,135.24094,0.0,2552.00,7,0
32,57812.71,312689.50,399036.38,135.238,0.0,2552.00,7,0
