时间点,经度,纬度,高度,偏航角,俯仰角,速度,偏航控制,俯仰控制
0,60.51,370371.28,399071.78,135.0,0.0,2552.00,0,0
1,1864.97,368566.78,399071.78,134.7608,0.0,2552.00,3,0
2,3669.58,366762.28,399071.78,134.759,0.0,2552.00,1,0
3,5474.13,364957.75,399071.78,135.23875,0.0,2552.00,4,0
4,7278.67,363153.25,399071.78,135.23889,0.0,2552.00,4,0
5,9083.20,361348.75,399071.78,135.23872,0.0,2552.00,4,0
6,10887.74,359544.25,399071.78,134.7611,0.0,2552.00,5,0
7,12692.29,357739.75,399071.78,134.76117,0.0,2552.00,4,0
8,14496.81,355935.25,399071.78,135.2413,0.0,2552.00,6,0
9,16301.32,354130.75,399071.78,134.76114,0.0,2552.00,4,0
10,18105.88,352326.22,399071.78,134.76158,0.0,2552.00,6,0
11,19910.43,350521.72,399071.78,134.76117,0.0,2552.00,4,0
12,21714.97,348717.22,399071.78,135.2391,0.0,2552.00,7,0
13,23519.51,346912.72,399071.78,135.23944,0.0,2552.00,6,0
14,25324.04,345108.22,399071.78,135.24127,0.0,2552.00,5,0
15,27128.56,343303.72,399071.78,134.76048,0.0,2552.00,8,0
16,28933.10,341499.22,399071.78,134.76117,0.0,2552.00,6,0
17,30737.63,339694.69,399071.78,134.76117,0.0,2552.00,4,0
18,32542.16,337890.19,399071.78,134.76083,0.0,2552.00,4,0
19,34346.71,336085.69,399071.78,135.24094,0.0,2552.00,8,0
20,36151.27,334281.19,399071.78,135.23889,0.0,2552.00,8,0
21,37955.77,332476.69,399071.78,135.23875,0.0,2552.00,0,0
22,39760.32,330672.19,399071.78,135.24094,0.0,2552.00,9,0
23,41564.87,328867.69,399071.78,135.23889,0.0,2552.00,8,0
24,43369.38,327063.16,399071.78,135.23875,0.0,2552.00,0,0
25,45173.92,325258.66,399071.78,135.24094,0.0,2552.00,9,0
26,46978.48,323454.16,399071.78,135.23889,0.0,2552.00,8,0
27,48782.98,321649.66,399071.78,135.23875,0.0,2552.00,0,0
28,50587.52,319845.16,399071.78,135.24094,0.0,2552.00,9,0
29,52392.08,318040.66,399071.78,135.23889,0.0,2552.00,8,0
30,54196.59,316236.16,399071.78,135.23875,0.0,2552.00,0,0
31,56001.13,314431.63,399071.78,135.24094,0.0,2552.00,9,0
32,57805.69,312627.13,399071.78,135.23889,0.0,2552.00,8,0
33,59610.19,310822.63,399071.78,135.23875,0.0,2552.00,0,0
34,61414.73,309018.13,399071.78,135.24094,0.0,2552.00,9,0
35,63219.29,307213.63,399071.78,135.23889,0.0,2552.00,8,0
36,65023.80,305409.13,399071.78,135.23875,0.0,2552.00,0,0
37,66828.32,303604.63,399071.78,134.76123,0.0,2552.00,5,0
38,68632.87,301800.13,399071.78,134.76173,0.0,2552.00,6,0
39,70437.39,299995.59,399071.78,134.76123,0.0,2552.00,4,0
40,72241.94,298191.09,399071.78,134.76173,0.0,2552.00,6,0
41,74046.46,296386.59,399071.78,134.76123,0.0,2552.00,4,0
42,75851.01,294582.09,399071.78,134.76173,0.0,2552.00,6,0
43,77655.53,292777.59,399071.78,134.76123,0.0,2552.00,4,0
44,79460.08,290973.09,399071.78,134.76173,0.0,2552.00,6,0
45,81264.60,289168.59,399071.78,134.76123,0.0,2552.00,4,0
46,83069.15,287364.06,399071.78,134.76173,0.0,2552.00,6,0
47,84873.67,285559.56,399071.78,134.76123,0.0,2552.00,4,0
48,86678.22,283755.06,399071.78,134.76173,0.0,2552.00,6,0
49,88482.74,281950.56,399071.78,134.76123,0.0,2552.00,4,0
50,90287.28,280146.06,399071.78,134.76173,0.0,2552.00,6,0
51,92092.02,278341.56,399071.78,134.7588,0.0,2552.00,1,0
52,93896.75,276537.06,399071.78,134.7588,0.0,2552.00,0,0
53,95701.48,274732.53,399071.78,134.7588,0.0,2552.00,0,0
54,97506.22,272928.03,399071.78,134.7588,0.0,2552.00,0,0
55,99310.95,271123.53,399071.78,134.7588,0.0,2552.00,0,0
56,101115.69,269319.03,399071.78,134.7588,0.0,2552.00,0,0
57,102920.41,267514.53,399071.78,134.7588,0.0,2552.00,0,0
58,104725.15,265710.03,399071.78,134.7588,0.0,2552.00,0,0
59,106529.88,263905.53,399071.78,134.7588,0.0,2552.00,0,0
60,108334.62,262101.02,399071.78,134.7588,0.0,2552.00,0,0
61,110138.22,260295.53,399071.78,135.2861,0.0,2552.00,21,0
62,111942.52,258490.78,399071.78,134.73564,0.0,2552.00,29,0
63,113747.33,256686.58,399071.78,135.25613,0.0,2552.00,17,0
64,115551.84,254881.92,399071.78,134.7558,0.0,2552.00,8,0
65,117356.41,253077.42,399071.78,134.75797,0.0,2552.00,7,0
66,119161.00,251272.92,399071.78,135.24174,0.0,2552.00,3,0
67,120965.49,249468.39,399071.78,135.24391,0.0,2552.00,5,0
68,122770.02,247663.88,399071.78,135.23956,0.0,2552.00,9,0
69,124574.52,245859.38,399071.78,134.76123,0.0,2552.00,5,0
70,126379.07,244054.88,399071.78,135.23875,0.0,2552.00,5,0
71,128183.58,242250.36,399071.78,134.75717,0.0,2552.00,8,0
72,129988.09,240445.86,399071.78,134.7569,0.0,2552.00,6,0
