时间点,开关,偏航角偏移量,俯仰角偏移量,信号特征,置信度
0,Off,0.0,0.0,'',0.0
1,Off,0.0,0.0,'',0.0
2,Off,0.0,0.0,'',0.0
3,Off,0.0,0.0,'',0.0
4,Off,0.0,0.0,'',0.0
5,Off,0.0,0.0,'',0.0
6,Off,0.0,0.0,'',0.0
7,Off,0.0,0.0,'',0.0
8,Off,0.0,0.0,'',0.0
9,Off,0.0,0.0,'',0.0
10,Off,0.0,0.0,'',0.0
11,Off,0.0,0.0,'',0.0
12,Off,0.0,0.0,'',0.0
13,Off,0.0,0.0,'',0.0
14,Off,0.0,0.0,'',0.0
15,Off,0.0,0.0,'',0.0
16,Off,0.0,0.0,'',0.0
17,Off,0.0,0.0,'',0.0
18,Off,0.0,0.0,'',0.0
19,Off,0.0,0.0,'',0.0
20,Off,0.0,0.0,'',0.0
21,Off,0.0,0.0,'',0.0
22,Off,0.0,0.0,'',0.0
23,Off,0.0,0.0,'',0.0
24,Off,0.0,0.0,'',0.0
25,Off,0.0,0.0,'',0.0
26,Off,0.0,0.0,'',0.0
27,Off,0.0,0.0,'',0.0
28,Off,0.0,0.0,'',0.0
29,Off,0.0,0.0,'',0.0
30,Off,0.0,0.0,'',0.0
31,Off,0.0,0.0,'',0.0
32,Off,0.0,0.0,'',0.0
33,Off,0.0,0.0,'',0.0
34,Off,0.0,0.0,'',0.0
35,Off,0.0,0.0,'',0.0
36,Off,0.0,0.0,'',0.0
37,Off,0.0,0.0,'',0.0
38,Off,0.0,0.0,'',0.0
39,Off,0.0,0.0,'',0.0
40,Off,0.0,0.0,'',0.0
41,Off,0.0,0.0,'',0.0
42,Off,0.0,0.0,'',0.0
43,Off,0.0,0.0,'',0.0
44,Off,0.0,0.0,'',0.0
45,Off,0.0,0.0,'',0.0
46,Off,0.0,0.0,'',0.0
47,Off,0.0,0.0,'',0.0
48,Off,0.0,0.0,'',0.0
49,Off,0.0,0.0,'',0.0
50,Off,0.0,0.0,'',0.0
51,Off,0.0,0.0,'',0.0
52,Off,0.0,0.0,'',0.0
53,Off,0.0,0.0,'',0.0
54,Off,0.0,0.0,'',0.0
55,Off,0.0,0.0,'',0.0
56,Off,0.0,0.0,'',0.0
57,Off,0.0,0.0,'',0.0
58,Off,0.0,0.0,'',0.0
59,Off,0.0,0.0,'',0.0
60,Off,0.0,0.0,'',0.0
61,Off,0.0,0.0,'',0.0
62,Off,0.0,0.0,'',0.0
63,Off,0.0,0.0,'',0.0
64,Off,0.0,0.0,'',0.0
65,Off,0.0,0.0,'',0.0
66,Off,0.0,0.0,'',0.0
67,Off,0.0,0.0,'',0.0
68,Off,0.0,0.0,'',0.0
69,Off,0.0,0.0,'',0.0
70,Off,0.0,0.0,'',0.0
71,Off,0.0,0.0,'',0.0
72,Off,0.0,0.0,'',0.0
73,Off,0.0,0.0,'',0.0
74,Off,0.0,0.0,'',0.0
75,Off,0.0,0.0,'',0.0
76,Off,0.0,0.0,'',0.0
77,Off,0.0,0.0,'',0.0
78,Off,0.0,0.0,'',0.0
79,Off,0.0,0.0,'',0.0
80,Off,0.0,0.0,'',0.0
81,Off,0.0,0.0,'',0.0
82,Off,0.0,0.0,'',0.0
83,Off,0.0,0.0,'',0.0
84,Off,0.0,0.0,'',0.0
85,Off,0.0,0.0,'',0.0
86,Off,0.0,0.0,'',0.0
87,Off,0.0,0.0,'',0.0
88,Off,0.0,0.0,'',0.0
89,Off,0.0,0.0,'',0.0
90,Off,0.0,0.0,'',0.0
91,Off,0.0,0.0,'',0.0
92,Off,0.0,0.0,'',0.0
93,Off,0.0,0.0,'',0.0
94,Off,0.0,0.0,'',0.0
95,Off,0.0,0.0,'',0.0
96,Off,0.0,0.0,'',0.0
97,Off,0.0,0.0,'',0.0
98,Off,0.0,0.0,'',0.0
99,Off,0.0,0.0,'',0.0
100,On,13.067846,74.086044,'Fussy',0.40637204
101,On,0.0,78.805405,'Fussy',0.39103967
102,On,0.58476543,66.95567,'Fussy',0.36739773
103,On,0.0,60.45423,'Fussy',0.42536026
104,On,0.0,57.483856,'Fussy',0.45661682
105,On,0.0,41.471977,'Fussy',0.40169674
106,On,0.0,24.743423,'Fussy',0.32006267
107,On,0.0,33.57936,'Fussy',0.48993462
108,On,0.0,33.221443,'Fussy',0.44902152
109,On,0.0,18.047222,'Fussy',0.39007786
110,On,0.0,1.5087662,'Fussy',0.3288347
111,On,11.718519,0.0,'Fussy',0.38170195
