时间点,经度,纬度,高度,偏航角,俯仰角,速度,偏航控制,俯仰控制
0,-29.79,370338.78,399084.31,135.0,0.0,2552.00,0,0
1,1774.75,368534.28,399084.31,134.76047,0.0,2552.00,7,0
2,3579.33,366729.78,399084.31,134.76118,0.0,2552.00,2,0
3,5383.85,364925.25,399084.31,135.24097,0.0,2552.00,4,0
4,7188.36,363120.75,399084.31,135.23871,0.0,2552.00,5,0
5,8992.88,361316.25,399084.31,135.23872,0.0,2552.00,2,0
6,10797.43,359511.75,399084.31,134.76122,0.0,2552.00,5,0
7,12601.98,357707.25,399084.31,134.76114,0.0,2552.00,6,0
8,14406.54,355902.75,399084.31,135.23906,0.0,2552.00,5,0
9,16211.06,354098.25,399084.31,135.23872,0.0,2552.00,4,0
10,18015.61,352293.72,399084.31,135.23944,0.0,2552.00,6,0
11,19820.13,350489.22,399084.31,135.24127,0.0,2552.00,5,0
12,21624.65,348684.72,399084.31,134.76048,0.0,2552.00,8,0
13,23429.20,346880.22,399084.31,134.76117,0.0,2552.00,6,0
14,25233.73,345075.72,399084.31,134.76117,0.0,2552.00,4,0
15,27038.26,343271.22,399084.31,134.76117,0.0,2552.00,6,0
16,28842.79,341466.72,399084.31,135.23889,0.0,2552.00,5,0
17,30647.33,339662.19,399084.31,135.2391,0.0,2552.00,4,0
18,32451.89,337857.69,399084.31,134.76117,0.0,2552.00,3,0
19,34256.46,336053.19,399084.31,135.23903,0.0,2552.00,7,0
20,36060.97,334248.69,399084.31,135.24094,0.0,2552.00,7,0
21,37865.48,332444.19,399084.31,135.238,0.0,2552.00,7,0
22,39670.02,330639.69,399084.31,135.23862,0.0,2552.00,10,0
23,41474.58,328835.19,399084.31,135.24094,0.0,2552.00,9,0
24,43279.10,327030.66,399084.31,134.7611,0.0,2552.00,6,0
25,45083.67,325226.16,399084.31,135.23903,0.0,2552.00,7,0
26,46888.18,323421.66,399084.31,135.24094,0.0,2552.00,7,0
27,48692.69,321617.16,399084.31,135.238,0.0,2552.00,7,0
28,50497.23,319812.66,399084.31,135.23862,0.0,2552.00,10,0
29,52301.79,318008.16,399084.31,135.24094,0.0,2552.00,9,0
30,54106.31,316203.66,399084.31,134.7611,0.0,2552.00,6,0
31,55910.88,314399.13,399084.31,135.23903,0.0,2552.00,7,0
32,57715.39,312594.63,399084.31,135.24094,0.0,2552.00,7,0
33,59519.90,310790.13,399084.31,135.238,0.0,2552.00,7,0
34,61324.45,308985.63,399084.31,135.23862,0.0,2552.00,10,0
35,63129.00,307181.13,399084.31,135.24094,0.0,2552.00,9,0
36,64933.50,305376.63,399084.31,134.75851,0.0,2552.00,5,0
37,66738.03,303572.13,399084.31,134.76123,0.0,2552.00,5,0
38,68542.57,301767.59,399084.31,134.76173,0.0,2552.00,6,0
39,70347.10,299963.09,399084.31,134.76123,0.0,2552.00,4,0
40,72151.64,298158.59,399084.31,134.76173,0.0,2552.00,6,0
41,73956.17,296354.09,399084.31,134.76123,0.0,2552.00,4,0
42,75760.71,294549.59,399084.31,134.76173,0.0,2552.00,6,0
43,77565.24,292745.09,399084.31,134.76123,0.0,2552.00,4,0
44,79369.78,290940.59,399084.31,134.76173,0.0,2552.00,6,0
45,81174.31,289136.06,399084.31,134.76123,0.0,2552.00,4,0
46,82978.85,287331.56,399084.31,134.76173,0.0,2552.00,6,0
47,84783.38,285527.06,399084.31,134.76123,0.0,2552.00,4,0
48,86587.92,283722.56,399084.31,134.76173,0.0,2552.00,6,0
49,88392.45,281918.06,399084.31,134.76123,0.0,2552.00,4,0
50,90196.99,280113.56,399084.31,134.76173,0.0,2552.00,6,0
51,92001.52,278309.06,399084.31,134.76123,0.0,2552.00,4,0
52,93806.06,276504.56,399084.31,134.76173,0.0,2552.00,6,0
53,95610.59,274700.03,399084.31,134.76123,0.0,2552.00,4,0
54,97415.13,272895.53,399084.31,134.76173,0.0,2552.00,6,0
55,99219.66,271091.03,399084.31,134.76123,0.0,2552.00,4,0
56,101024.20,269286.53,399084.31,134.76173,0.0,2552.00,6,0
57,102828.73,267482.03,399084.31,134.76123,0.0,2552.00,4,0
58,104633.46,265677.53,399084.31,134.75832,0.0,2552.00,1,0
59,106438.20,263873.03,399084.31,134.75832,0.0,2552.00,0,0
60,108242.93,262068.52,399084.31,134.75832,0.0,2552.00,0,0
61,110047.66,260264.00,399084.31,134.75832,0.0,2552.00,0,0
