时间点,开关,偏航角偏移量,俯仰角偏移量,信号特征,置信度
0,On,0.0,0.0,'Fussy',0.020094633
1,On,0.0,0.0,'Fussy',0.04154296
2,On,15.586361,7.096239,'Fussy',0.13177344
3,On,0.0,14.39893,'Fussy',0.0012234331
4,On,14.763815,2.1123562,'Fussy',0.031915605
5,On,13.925919,13.89431,'Fussy',0.18943898
6,On,0.0,12.9134445,'Fussy',0.097417474
7,On,0.0,0.0,'Fussy',0.069503605
8,On,1.7928944,11.433174,'Fussy',0.073800504
9,On,2.7878857,8.618097,'Fussy',0.023193408
10,On,2.7878857,8.618097,'Fussy',0.023193408
11,On,2.7878857,8.618097,'Fussy',0.023193408
12,On,2.7878857,8.618097,'Fussy',0.023193408
13,On,2.7878857,8.618097,'Fussy',0.023193408
14,On,2.7878857,8.618097,'Fussy',0.023193408
15,On,2.7878857,8.618097,'Fussy',0.023193408
16,On,2.7878857,8.618097,'Fussy',0.023193408
17,On,2.7878857,8.618097,'Fussy',0.023193408
18,On,2.7878857,8.618097,'Fussy',0.023193408
19,On,2.7878857,8.618097,'Fussy',0.023193408
20,On,2.7878857,8.618097,'Fussy',0.023193408
21,On,6.5704346,0.0,'Fussy',0.116670765
22,On,9.564875,0.0,'Fussy',0.031349372
23,On,0.0,13.354933,'Fussy',0.124794506
24,On,0.26201725,9.191097,'Fussy',0.1389896
25,On,0.0,11.398943,'Fussy',9.705067E-4
26,On,0.0,7.8659725,'Fussy',0.10462703
27,On,0.0,0.0,'Fussy',0.14100198
28,On,0.0,2.176876,'Fussy',0.096345656
29,On,4.078367,14.20183,'Fussy',0.12211831
30,On,0.0,4.547413,'Fussy',0.0409827
31,On,0.0,0.0,'Fussy',0.038040437
32,On,7.31571,0.0,'Fussy',0.0021368742
33,On,0.0,0.47999954,'Fussy',0.097251914
34,On,0.0,14.784945,'Fussy',0.10807941
35,On,0.0,0.0,'Fussy',0.026041735
36,On,12.20908,0.0,'Fussy',0.078904174
37,On,0.0,14.074656,'Fussy',0.08130816
38,On,2.4860458,12.568142,'Fussy',0.046631157
