时间点,经度,纬度,高度,偏航角,俯仰角,速度,偏航控制,俯仰控制
0,73.73,370368.00,398979.53,135.23819,45.00058,2552.00,0,0
1,1349.73,369091.94,397174.72,134.76111,45.001266,2552.00,6,0
2,2626.41,367815.34,395370.81,134.75676,44.71332,2552.00,5,1
3,3902.05,366539.63,393565.59,134.76079,45.001347,2552.00,5,3
4,5178.09,365263.75,391760.78,134.75668,45.00123,2552.00,5,0
5,6454.67,363987.22,389956.88,135.26048,44.712967,2552.00,7,1
6,7730.13,362711.44,388151.66,134.74614,45.00172,2552.00,9,3
7,9006.88,361435.00,386347.75,135.24065,44.713142,2552.00,4,1
8,10282.52,360159.25,384542.50,134.75803,45.001637,2552.00,6,3
9,11558.55,358883.31,382737.69,135.23804,45.00121,2552.00,3,0
10,12835.19,357606.63,380933.81,135.23796,44.712948,2552.00,2,1
11,14117.68,356324.28,379138.16,134.75822,44.712944,2552.00,1,0
12,15406.53,355035.81,377351.66,134.75821,44.42503,2552.00,0,1
13,16689.00,353753.47,375556.00,134.75822,44.712944,2552.00,0,1
14,17965.09,352477.84,373751.19,134.75822,45.00085,2552.00,0,1
15,19247.56,351195.50,371955.53,134.75822,44.71294,2552.00,0,1
16,20536.39,349907.03,370169.03,134.75821,44.42503,2552.00,0,1
17,21818.85,348624.69,368373.38,134.75822,44.712933,2552.00,0,1
18,23101.43,347342.34,366577.72,134.75383,44.712933,2552.00,1,0
19,24383.89,346060.00,364782.06,134.75822,44.71294,2552.00,1,0
20,25666.47,344777.66,362986.41,134.75383,44.712933,2552.00,1,0
21,26879.35,343562.94,361099.44,135.31883,49.89694,2552.00,20,20
22,28111.61,342328.97,359237.69,134.75624,44.138927,2552.00,20,20
23,29421.02,341020.56,357481.09,134.72105,43.561203,2552.00,8,12
24,30694.83,339747.00,355673.53,135.26617,45.577362,2552.00,16,7
25,31971.89,338469.59,353870.56,134.7477,44.71317,2552.00,10,9
26,33247.71,337194.19,352065.34,135.2489,45.0018,2552.00,6,3
27,34523.58,335918.03,350260.53,134.75432,45.001026,2552.00,5,0
28,35800.19,334641.47,348456.63,135.25092,44.713108,2552.00,5,1
29,37075.76,333365.75,346651.41,134.74574,45.001698,2552.00,7,3
30,38352.61,332089.38,344847.50,135.24518,44.713,2552.00,6,1
31,39628.16,330813.47,343042.28,135.24052,45.001133,2552.00,1,3
32,40904.11,329537.50,341237.47,135.24066,45.001026,2552.00,2,0
33,42180.77,328260.84,339433.56,134.73932,44.71311,2552.00,6,1
34,43456.57,326985.38,337628.31,135.25375,45.001347,2552.00,9,3
35,44732.21,325709.19,335823.53,134.75902,45.001354,2552.00,4,0
36,46008.93,324432.72,334019.63,134.75262,44.713436,2552.00,5,1
37,47284.64,323157.25,332214.38,135.25157,45.002026,2552.00,5,3
38,48561.16,321880.41,330410.50,134.75735,44.713116,2552.00,4,1
39,49836.89,320604.81,328605.25,134.76173,45.001133,2552.00,3,3
40,51112.84,319328.72,326800.44,134.74864,45.00103,2552.00,5,0
41,52395.57,318046.97,325004.78,134.74867,44.71311,2552.00,0,1
42,53684.64,316758.50,323218.28,134.74867,44.425194,2552.00,0,1
43,54973.62,315470.06,321431.78,134.75307,44.425194,2552.00,1,0
44,56268.94,314175.50,319654.44,134.75308,44.13727,2552.00,0,1
45,57564.11,312880.34,317877.09,134.75746,44.13727,2552.00,1,0
46,58859.43,311585.78,316099.75,134.75308,44.13727,2552.00,1,0
47,60154.59,310290.63,314322.41,134.75746,44.13727,2552.00,1,0
48,61449.68,308995.44,312545.06,134.76187,44.13727,2552.00,1,0
49,62744.62,307700.28,310767.72,135.24161,44.13728,2552.00,1,0
50,64033.23,306411.22,308981.22,135.2416,44.425198,2552.00,0,1
51,65252.52,305189.59,307102.88,135.33029,49.61091,2552.00,20,20
52,66412.41,304027.53,305149.25,135.24313,49.899185,2552.00,20,9
53,67646.25,302795.25,303287.34,134.69676,44.141327,2552.00,16,20
54,68970.76,301471.84,301553.22,135.25743,42.70257,2552.00,20,11
55,70242.73,300198.94,299744.22,135.25978,46.157677,2552.00,3,20
56,71519.86,298921.81,297941.31,134.74045,45.007015,2552.00,10,16
