时间点,经度,纬度,高度,偏航角,俯仰角,速度,偏航控制,俯仰控制
0,79.61,370364.19,398976.84,135.0,45.0,2552.00,0,0
1,1355.62,369088.16,397172.03,135.24135,45.001343,2552.00,3,0
2,2631.66,367812.19,395367.22,134.75075,45.001358,2552.00,4,0
3,3907.97,366535.81,393562.88,135.23898,45.00102,2552.00,5,2
4,5183.95,365259.84,391758.06,134.76143,45.00107,2552.00,5,0
5,6459.91,363983.72,389953.25,134.75209,45.00138,2552.00,6,0
6,7736.36,362707.69,388148.91,135.24045,45.00159,2552.00,5,2
7,9012.28,361431.56,386344.09,134.76094,45.00146,2552.00,1,0
8,10288.23,360155.50,384539.28,134.76114,45.001274,2552.00,6,0
9,11564.59,358879.16,382734.94,134.76126,45.000877,2552.00,6,2
10,12840.61,357603.13,380930.13,134.75685,45.00152,2552.00,7,0
11,14116.63,356327.06,379125.31,134.7617,45.001125,2552.00,5,0
12,15393.00,355050.84,377320.97,134.75763,45.00104,2552.00,5,2
13,16668.99,353775.00,375516.16,135.25043,45.001472,2552.00,4,0
14,17944.79,352498.84,373711.34,134.75935,45.00097,2552.00,4,0
15,19221.16,351222.72,371906.97,134.7618,45.001648,2552.00,5,2
16,20497.13,349946.78,370102.19,135.24408,45.001453,2552.00,3,0
17,21773.40,348670.41,368297.81,134.7598,45.001762,2552.00,5,2
18,23049.38,347394.28,366493.00,134.76216,45.001076,2552.00,5,0
19,24325.42,346118.31,364688.19,134.75375,45.001625,2552.00,2,0
20,25601.76,344842.19,362883.84,135.25082,45.001263,2552.00,5,2
21,26877.50,343566.03,361079.03,134.76044,45.000916,2552.00,6,0
22,28153.58,342290.22,359274.22,134.75409,45.001358,2552.00,4,0
23,29429.87,341013.91,357469.88,135.24008,45.001644,2552.00,6,2
24,30705.83,339737.81,355665.06,134.74988,45.001396,2552.00,4,0
25,31982.31,338461.75,353860.72,135.24692,45.001698,2552.00,5,2
26,33258.14,337185.59,352055.91,134.7589,45.001343,2552.00,3,0
27,34534.17,335909.50,350251.09,134.75726,45.00146,2552.00,2,0
28,35810.21,334633.44,348446.28,134.76161,45.001026,2552.00,3,0
29,37086.56,333357.16,346641.94,135.24123,45.00104,2552.00,5,2
30,38362.55,332081.09,344837.13,134.74817,45.00167,2552.00,4,0
31,39638.96,330805.06,343032.78,135.24294,45.00104,2552.00,5,2
32,40914.86,329528.81,341227.97,135.24333,45.001026,2552.00,2,0
33,42190.82,328252.91,339423.16,134.75984,45.001354,2552.00,2,0
34,43467.11,326976.59,337618.81,134.75984,45.00115,2552.00,4,2
35,44743.05,325700.63,335814.00,135.24333,45.001026,2552.00,2,0
36,46019.02,324424.69,334009.19,134.75917,45.001015,2552.00,2,0
37,47295.34,323148.53,332204.84,135.2429,45.001595,2552.00,6,2
38,48571.32,321872.50,330400.03,134.75523,45.001015,2552.00,7,0
39,49847.65,320596.34,328595.69,135.25214,45.001373,2552.00,7,2
40,51123.45,319320.13,326790.88,134.76161,45.001026,2552.00,4,0
41,52399.54,318044.03,324986.06,134.74422,45.00167,2552.00,4,0
42,53676.00,316767.97,323181.69,135.2474,45.00159,2552.00,6,2
43,54951.90,315491.84,321376.91,134.75917,45.001015,2552.00,3,0
44,56227.86,314216.00,319572.09,135.2519,45.001358,2552.00,6,0
45,57504.00,312939.59,317767.72,134.75908,45.00115,2552.00,6,2
46,58780.17,311663.97,315962.91,134.7547,45.001144,2552.00,1,0
47,60056.34,310388.34,314158.13,134.7547,45.001144,2552.00,0,0
48,61332.50,309112.69,312353.31,134.7547,45.001144,2552.00,0,0
49,62608.67,307837.06,310548.50,134.7547,45.001144,2552.00,0,0
50,63884.84,306561.44,308743.69,134.7547,45.001144,2552.00,0,0
51,65160.94,305285.81,306938.88,134.7547,45.001144,2552.00,0,0
52,66437.03,304010.16,305134.06,134.7547,45.001144,2552.00,0,0
53,67713.13,302734.53,303329.25,134.7547,45.001144,2552.00,0,0
